Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods,Description,Contact
J_22,Jakarta,Talam Durian Jakarta,Munchies,Kue Talam,>50.000,5,Snack,Talam Durian Jakarta menjual kue talam yang memiliki varian durian dan dijual dengan harga yang terjangkau.,081381360247
J_23,Jakarta,Asinan Sayur Kebon Kacang Yusra,Munchies,Asinan,<25.000,4.6,Street Snacks,"Asinan Sayur Kebon Kacang Yusra menjual berbagai macam asinan, seperti asinan buah dan asinan sayur yang dilengkapi dengan krupuk dan bumbu yang memiliki cita rasa khas.",08118900023
J_24,Jakarta,89 Camilan,Munchies,Kue Cincin,<25.000,4.8,Street Snacks,89 Camilan menjual berbagai macam oleh-oleh khas Jakarta dan salah satu yang menjadi ciri khas toko ini adalah kue cincin yang merupakan jajanan betawi dengan tekstur yang empuk dan renyah.,https://www.tokopedia.com/kuecincin
J_25,Jakarta,Toko Kue Sumber Mas,Munchies,Kue Akar Kelapa,25.000-50.000,4.3,Snack,Toko Kue Sumber Mas menjual makanan ringan kue akar kelapa yang cocok digunakan untuk dijadikan sebagai camilan.,https://www.tokopedia.com/sumbermaskripik
J_26,Jakarta,Neng Mae,Munchies,Biji Ketapang,<25.000,4.8,Street Snacks,Neng Mae menjual biji ketapang. Biji ketapang merupakan makanan yang terbuat dari sagu dan dicampur dengan santan dan gula pasir.,https://www.tokopedia.com/neng-mae
J_27,Jakarta,Cemilan Nomello,Munchies,Pencok Betawi,>50.000,4.7,Snack,"Cemilan Nomello menjual kentang khas betawi yang bernama pencok betawi dengan dua varian, yaitu original dan pedas.",https://www.tokopedia.com/cemilannomello
J_28,Jakarta,Rempeyek De Is Diaspora UMKM,Munchies,Rempeyek,25.000-50.000,5,Snack,Rempeyek De Is Diaspora UMKM menjual peyek kacang yang dilengkapi dengan daun jeruk dan memiliki berat sebesar 200 gram.,081311100220
J_29,Jakarta,Dodol Betawi Hb. Toha,Munchies,Dodol,25.000-50.000,4.8,Snack,"Dodol Betawi Hb. Toha menjual jajanan khas betawi, yaitu dodol dengan berbagai varian, seperti ketan hitam, ketan paris, ketan durian, dan masih banyak lagi.",(021) 8411693
J_30,Jakarta,Kerak Telor Khas Betawi Al Aziz,Munchies,Kerak Telor,<25.000,4,Street Snacks,"Kerak Telor Khas Betawi Al Aziz menjual makanan khas Jakarta, yaitu kerak telor dengan dua pilihan telur, yaitu telur ayam dan telur bebek.",085782241097
J_31,Jakarta,Es Podeng 09,Munchies,Es Podeng,<25.000,5,Street Snacks,"Es Podeng 09 merupakan salah satu tempat yang dapat dituju apabila Anda ingin mencari makanan penutup yang ringan dengan harga yang terjangkau. Penyajian es podeng 09 dilengkapi dengan cendol merah, roti tawar, ketan hitam, alpukat, dan topping, susu coklat, kacang, mesis.",081806775898
J_32,Jakarta,Nadia Jus Buah,Munchies,Jus Buah,<25.000,4.5,Street Snacks,"Nadia Jus Buah merupakan tempat yang cocok bagi orang yang mencari minuman sehat. Sesuai dengan namanya, Nadia Jus Buah menjual beraneka ragam jus buah yang sehat dan menyegarkan.",081219158708
J_33,Jakarta,Freshjus Juice Buah Jus Bubble,Munchies,Jus Buah,<25.000,4.4,Street Snacks,"Freshjus Juice Buah Jus Bubble menjual beraneka ragam jus buah yang dikombinasikan dengan sayuran yang menyehatkan. Selain itu, UMKM ini juga menjual jus dengan topping whip cream yang creamy.",087804373741
J_34,Jakarta,Kerak Telor Bang Doel,Munchies,Kerak Telor,<25.000,4.6,Street Snacks,"Kerak Telor Bang Doel dapat ditemukan di daerah Pasar Baru, Jakarta Pusat. Kerak telor yang dijual oleh Bang Doel terdiri dari dua varian, yaitu menggunakan telor bebek dan telor ayam.",085814161841
J_35,Jakarta,Ketoprak Cobek Pak Yono,F&B,Ketoprak,25.000-50.000,4.7,Main Course,"Ketoprak Cobek Pak Yono dapat ditemukan di daerah Lebak Bulus. Penyajian dari ketoprak cobek Pak Yono dilengkapi oleh telur, toge, ketupat, bihun, kerupuk yang disiram dengan bumbu kacang dengan tekstur halus yang dibuat langsung menggunakan cobek. ",081296808069
J_36,Jakarta,Soto Jakarta Pak Haji Yus,F&B,Soto Betawi,>50.000,4.5,Main Course,"Soto Jakarta Pak Haji Yus menjual soto khas betawi, yaitu soto daging dengan kuah santan. Pilihan daging yang disediakan oleh Soto Jakarta Pak Haji Yus juga meliputi babat, kikil, usus, tulang muda, dan lidah. Selain itu, UMKM ini juga menjual sate kambing yang juga menjadi alternatif lain bagi pengunjung.",(021) 8294474
J_37,Jakarta,Nasi Goreng Bang Ronie,F&B,Nasi Goreng,25.000-50.000,4.7,Main Course,"Nasi Goreng Bang Ronie menjual beraneka ragam jenis nasi goreng dengan topping yang variatif, seperti udang, sosis, bakso, kerang, abon, dan lain sebagainya. Selain itu, tempat makan ini juga menjual menu lain seperti bihun, mie, kwetiau, tongseng dan sop.",085795318002
J_38,Jakarta,"Nasi Uduk Ngangenin, Ciracas",F&B,Nasi Uduk,<25.000,4.6,Street Food,"Nasi Uduk Ngangenin, Ciracas menjual nasi uduk yang dilengkapi tempe orek, bihun, dan lauk tambahan yang beragam, seperti semur tahu, semur jengkol, telur balado, telur dadar.  ",081289456229
J_39,Jakarta,"Soto Betawi ""Senen Jaya""",F&B,Soto Betawi,>50.000,4.8,Main Course,"Soto Betawi ""Senen Jaya"" terletak di dekat pintu masuk blok 5 Pasar Senen. Warung ini dimiliki oleh pasangan Gatot Sukisno dan Yosiana Yetty. Warung ini didirikan bersama dengan ayahnya dan rekan ayahnya. Soto Betawi ""Senen Jaya"" menjual beragam jenis soto dengan kuah santan, seperti soto daging, soto kikil, soto babat, ,soto paru, dan soto ayam.",081280825363
J_40,Jakarta,Pempek Cik Mi 28,F&B,Pempek,25.000-50.000,4.4,Main Course,"Pempek Cik Mi 28 menjual berbagai jenis pempek, seperti kapal selam, adaan, kulit, lenjer, dan tahu. Selain itu, UMKM ini juga menjual tekwan dan model yang bisa ditambah dengan mie.",087788892257
J_41,Jakarta,Nasi Gila Pangpol,F&B,Nasi Goreng Gila,25.000-50.000,4.5,Main Course,"Nasi Gila Pangpol menjual nasi goreng gila yang disajikan dengan topping sosis, bakso, telur, dan juga dilengkapi dengan telur. Selain itu, warung makan ini juga menyediakan nasi goreng kambing.",083894191790
J_42,Jakarta,Nasi Uduk Betawi Kemandoran Bang Ama,F&B,Nasi Uduk,<25.000,4.5,Street Food,"Nasi Uduk Betawi Kemandoran Bang Ama menyediakan nasi uduk dengan tempe orek dan bihun yang dilengkapi dengan lauk tambahan, seperti telur balado, tempe goreng, ayam goreng, semur jengkol, dan lain sebagainya. Selain itu, warung makan ini juga menjual ketupat sayur.",https://web.facebook.com/nasiudukbetawikemandoran/
J_43,Jakarta,Ketupat Sayur Pecenongan,F&B,Ketupat Sayur,<25.000,4.8,Street Food,"Ketupat Sayur Pecenongan menjual makanan khas banten, yaitu ketupat sayur yang dilengkapi dengan telur, kentang, tahu, ayam, telor, serta krupuk untuk menambah tekstur renyah ketika makan.",085880775636
J_44,Jakarta,Gado-Gado Pak Udin,F&B,Gado-Gado,<25.000,4.3,Street Food,"Gado-gado Pak Udin menjual gado-gado yang berisikan campuran sayuran rebus, bumbu kacang, dan potongan lonton, serta krupuk. Selain itu, warung makan ini juga menjual menu lain, seperti nasi uduk dan nasi ayam kentucky.",087885936605
J_45,Jakarta,Seafood Ayu,F&B,Seafood,>50.000,4.5,Main Course,"Seafood Ayu menjual berbagai macam seafood,  seperti cumi-cumi, udang, kerang, ikan, dan kepiting yang bisa dimasak dengan beraneka ragam jenis bumbu, seperti bakar, saos tiram, saus padang, mentega, saos asam manis, dan lain sebagainya.",08159915966
J_46,Jakarta,"Sate Maranggi & Sop Iga Khas Purwakarta Telaga Biru, Haji Nawi Raya",F&B,"Sate Maranggi, Sop Iga",>50.000,4.6,Main Course,"Sate Maranggi & Sop Iga Khas Purwakarta Telaga Biru, Haji Nawi Raya menjual sate maranggi kambing dan sapi yang juga bisa ditambahkan ketan bakar atau oncom sebagai pelengkap.",083896014348
J_47,Jakarta,Omar Brownies,Munchies,Brownies,>50.000,4.9,Snack,"Omar Brownies menjual beraneka ragam brownies dengan toping yang variatif, seperti keju. Selain itu, Omar Brownies juga menyediakan kue ulang tahun yang dapat dicustom.",https://www.instagram.com/omarbrownies07/
J_48,Jakarta,Dapoer Ammar - Agen Donat Murah,Munchies,Donat,<25.000,4.8,Street Snacks,"Dapoer Ammar - Agen Donat Murah menjual donat dengan harga yang terjangkau dan topping seperti coklat, meses, dan lain sebagainya.",08568119223
J_49,Jakarta,Donat Ade,Munchies,Donat,<25.000,5,Street Snacks,"Donat Ade menjual donat dengan varian gula salju, strawberry, kacang, coklat, keju, dan masih banyak lagi. Donat Ade dijual dengan harga yang terjangkau dan menggunakan bahan berkualitas.",083813891116
