Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods
B_54,Bali,Nyoman Jami Art Shop,Craft,Topeng Barong,>50.000,5,Souvenir
B_55,Bali,Kusuma Silver,Craft,"Gelang, Cincin, Kalung Silver",>50.000,4.8,Souvenir
B_56,Bali,Manikwangi Jewelry,Craft,Gelang Manik-Manik,25.000-50.000,4.7,Souvenir
B_57,Bali,Sukawati Mesari,Craft,"Gelang Jalin, Gelang Kerang, Kalung Kerang",<25.000,4.9,Souvenir
B_58,Bali,Alesha Ramadhani,Craft,Kipas Tangan khas Bali,<25.000,5,Daily Needs
BD_01,Bandung,Mr. Quiliting,Fashion,Puffy bag,>50.000,4.7,Casual Fashion
BD_02,Bandung,WANSSTORE.CO.ID,Fashion,"Sweater, hoodie",>50.000,4.8,Casual Fashion
BD_03,Bandung,Starverssy.co,Fashion,Pakaian wanita,25.000-50.000,4.9,Formal Fashion
BD_04,Bandung,WHSTL. Store,Fashion,Kaos streetwear,>50.000,4.9,Casual Fashion
BD_05,Bandung,Finewale,Fashion,Kaos dan hoodie polos,>50.000,4.8,Casual Fashion
BD_06,Bandung,ARD Distro BDG,Fashion,Kaos distro,25.000-50.000,4.5,Casual Fashion
BD_07,Bandung,Melatechnotic,Fashion,Batik,>50.000,5,Formal Fashion
BD_08,Bandung,Maraya Scraft,Fashion,Hijab,>50.000,4.9,Formal Fashion
BD_09,Bandung,Versuscity,Fashion,Pakaian muslimah,>50.000,4.9,Formal Fashion
BD_10,Bandung,Toko SundaOkey,Fashion,Iket Sunda,>50.000,4.5,Formal Fashion
BD_11,Bandung,Ki Sunda Motekar,Fashion,Kemeja Koko,>50.000,4.8,Formal Fashion
BD_12,Bandung,Neng Lina Kebaya,Fashion,Kebaya,>50.000,4.8,Formal Fashion
BD_13,Bandung,Rumah Kebaya Bandung,Fashion,Kebaya,>50.000,4.8,Formal Fashion
BD_14,Bandung,Manonjaya Batik,Fashion,Batik,>50.000,4.6,Formal Fashion
BD_15,Bandung,Cuanki Endos,Munchies,Cuanki,<25.000,4.7,Street Snacks
BD_16,Bandung,Cuanki Mangdul 24jam,Munchies,Cuanki,<25.000,4.5,Street Snacks
BD_17,Bandung,Seblak Syahrini,Munchies,Seblak,<25.000,4.4,Street Snacks
BD_18,Bandung,Seblak Ooh Bama,Munchies,Seblak,<25.000,4.3,Street Snacks
BD_19,Bandung,Batagor Kiciwis,Munchies,Batagor,<25.000,4.7,Street Snacks
BD_20,Bandung,Batagor Asli Juanda,Munchies,Batagor,<25.000,4.6,Street Snacks
BD_21,Bandung,Es Puter Easy,Munchies,Es puter literan,>50.000,4.6,Snack
BD_22,Bandung,Fadya Juice & Es Kelapa,Munchies,Jus Buah,<25.000,4.8,Street Snacks
BD_23,Bandung,Milktea Kittyew,Munchies,Milk Tea,<25.000,4.9,Street Snacks
BD_24,Bandung,Batagor Riri,Munchies,Batagor,<25.000,4.2,Street Snacks
BD_25,Bandung,Seblak Ramdhan,Munchies,Seblak,<25.000,4.3,Street Snacks
BD_26,Bandung,Cuanki Wildan,Munchies,Cuanki,<25.000,4.5,Street Snacks
BD_27,Bandung,On.loc,F&B,Masakan Indonesia,25.000-50.000,4.3,Main Course
BD_28,Bandung,Sekoteng Joss jahe merah,F&B,Sekoteng,<25.000,4.8,Street Food
BD_29,Bandung,Soto Bandung M. Tarya,F&B,Soto,>50.000,4.4,Main Course
BD_30,Bandung,Mie Kocok Semar,F&B,Mie Kocok,25.000-50.000,4.4,Main Course
BD_31,Bandung,Mie Kocok Kebun Jukut,F&B,Mie Kocok,25.000-50.000,4.4,Main Course
BD_32,Bandung,Mie Kocok Persib Gorowok,F&B,Mie Kocok,25.000-50.000,4.5,Main Course
BD_33,Bandung,Nasi Kuning Sumur Bandung,F&B,Nasi Kuning,<25.000,4.5,Street Food
BD_34,Bandung,Nasi Kuning dan Uduk Pandu Ny. Shelvy,F&B,Nasi Kuning,<25.000,4.6,Street Food
BD_35,Bandung,Mie Roemah,F&B,Mie,25.000-50.000,4.6,Main Course
BD_36,Bandung,Seafood Kiloan Bang Bopak,F&B,Seafood,>50.000,4.2,Main Course
BD_37,Bandung,Nasi Kalong,F&B,Makanan sehat,25.000-50.000,3.9,Main Course
BD_38,Bandung,Nasi Kuning Pungkur,F&B,Nasi kuning,<25.000,4.5,Street Food
BD_39,Bandung,Soto Bandung Pak Simon,F&B,Soto bandung,>50.000,4.6,Main Course
BD_40,Bandung,Sekoteng Jahe Roni,F&B,Sekoteng,<25.000,4.3,Street Food
BD_41,Bandung,WETAN Store,Craft,"Lanyard, klip kabel kulit",<25.000,4.6,Daily Needs
BD_42,Bandung,My Pantry,Craft,Toples kaca variatif,>50.000,4.8,Household Items
BD_43,Bandung,Rumah Gerabah,Craft,Wajan tanah liat,>50.000,4.7,Household Items
BD_44,Bandung,Pengrajin Kayu,Craft,Mebel kayu,>50.000,4.3,Household Items
BD_45,Bandung,Nana Pengrajin Loyang,Craft,Loyang makanan,25.000-50.000,4.9,Daily Needs
BD_46,Bandung,Rustic Hut Craft,Craft,Lampion benang,<25.000,5,Souvenir
BD_47,Bandung,Bale Angklung Bandung,Craft,"Angklung, gamelan, alat musik tradisional",>50.000,4.6,Souvenir
BD_48,Bandung,Giri Harja Galery Art Wayang Golek,Craft,Wayang Golek ,>50.000,4.7,Souvenir
BD_49,Bandung,Wayang Golek Bapak Ramdan,Craft,Wayang Golek ,>50.000,5,Souvenir
BD_50,Bandung,Bandung Rustik Market,Craft,Kerajinan rotan,>50.000,4.9,Household Items
BD_51,Bandung,Garasi Craft,Craft,Gantungan kunci,<25.000,5,Souvenir
BD_52,Bandung,The Dreamer Craft,Craft,Gantungan kunci kulit,>50.000,5,Souvenir
BD_53,Bandung,Rona Ratu Fashion,Craft,Anting bunga,<25.000,4.8,Souvenir
BD_54,Bandung,Diah CraftShop,Craft,Tas Rajut,25.000-50.000,4.9,Souvenir
BD_55,Bandung,Krizatnik.Craft,Craft,Tas Rajut,25.000-50.000,4.3,Souvenir
